,user_id,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,09-2019,06-2019
0,1780,1,0,0,1,0,0,0,0,0
1,1783,6,1,0,0,0,0,0,0,0
2,1804,3,2,1,0,1,0,0,3,0
3,3067,1,0,0,0,0,0,0,1,0
4,2817,2,1,0,0,0,0,0,0,0
5,2790,6,3,0,0,2,0,0,0,0
6,2789,6,3,2,1,2,2,0,0,0
7,2779,6,3,1,0,1,1,2,0,0
8,2792,6,4,3,0,0,0,0,0,0
9,3086,1,8,2,0,1,2,0,0,0
10,2578,5,0,0,0,0,0,0,0,0
11,2172,3,0,0,0,0,0,0,0,0
12,2945,3,4,5,0,0,0,0,0,0
13,3053,7,5,5,1,0,0,0,0,0
14,3057,7,4,11,0,0,0,0,0,0
15,3054,7,4,11,2,0,0,0,0,0
16,2403,2,0,2,1,0,0,0,0,0
17,2823,6,2,2,0,2,0,0,0,0
18,3106,6,4,1,1,2,1,0,0,0
19,3107,6,4,1,1,1,0,0,0,0
20,3110,1,0,4,0,0,0,0,0,0
21,3111,2,0,0,0,0,0,0,0,0
22,2828,6,4,2,0,0,2,1,0,0
23,3117,6,1,2,0,2,1,0,0,0
24,3115,6,5,2,1,0,0,0,0,0
25,3112,2,3,7,0,0,0,0,0,0
26,3120,2,0,0,0,0,0,1,0,0
27,3122,2,0,0,0,0,0,0,0,0
28,3101,7,0,0,0,0,0,0,1,0
29,3128,6,5,1,0,0,0,0,0,0
30,3127,6,4,1,0,0,0,0,0,0
31,3129,6,3,1,0,0,0,0,0,0
32,3125,7,5,8,1,0,0,0,1,0
33,3134,4,0,3,1,0,0,0,0,0
34,3108,1,0,0,0,0,0,0,0,0
35,3135,5,0,0,0,0,0,0,0,0
36,3139,7,5,2,1,0,0,0,1,0
37,2946,8,4,11,2,0,0,0,0,0
38,3085,7,5,2,0,0,0,0,0,0
39,2577,8,4,1,0,0,0,0,0,0
40,3148,7,4,9,1,2,2,0,0,0
41,2991,3,0,0,0,0,0,0,0,0
42,2668,6,1,0,1,0,0,0,0,0
43,2720,8,4,3,0,0,0,0,0,0
44,2989,8,1,0,0,0,0,0,0,0
45,2519,5,0,0,0,0,0,0,0,0
46,2667,4,1,3,0,0,1,0,2,0
47,2673,2,2,0,0,0,0,0,0,0
48,3155,1,0,0,0,0,0,0,0,0
49,1999,7,4,2,0,0,0,0,0,0
50,3102,8,3,3,0,0,0,0,0,0
51,3157,1,0,0,0,0,0,0,0,0
52,3159,1,0,0,0,0,0,0,0,0
53,3160,2,0,0,0,0,0,0,0,0
54,3032,1,0,0,0,0,0,0,0,0
55,3084,5,4,2,0,0,0,0,0,0
56,3163,3,2,1,0,0,0,0,0,0
57,3164,3,1,0,0,0,0,0,0,0
58,3167,1,0,0,0,0,0,0,0,0
59,3168,4,3,1,1,1,1,0,0,0
60,2531,7,2,1,0,0,0,0,1,0
61,3178,7,2,4,1,0,1,0,5,0
62,3181,2,0,1,2,0,0,0,0,0
63,3184,1,0,0,0,0,0,0,0,0
64,3187,6,3,1,0,0,1,0,0,0
65,3180,2,0,0,0,0,0,0,0,0
66,2723,1,3,0,0,0,0,0,0,0
67,3095,1,0,0,0,0,0,0,0,0
68,3137,7,5,4,2,1,1,0,1,0
69,3190,5,0,0,0,0,0,0,0,0
70,3188,1,0,0,0,0,0,0,0,0
71,3191,1,0,1,0,0,0,0,0,0
72,3194,4,4,3,0,0,0,0,5,0
73,3047,1,0,0,0,0,0,0,0,0
74,2114,1,0,0,0,0,0,0,0,0
75,3152,5,2,2,0,0,0,0,1,0
76,2837,4,3,4,1,1,0,0,0,0
77,3199,1,0,0,0,0,0,0,0,0
78,3182,4,7,2,0,0,0,0,0,0
79,3204,7,3,0,0,0,0,0,0,0
80,3153,1,0,0,3,0,0,0,0,0
81,3150,1,0,0,0,0,0,0,8,0
82,3179,6,0,1,0,0,0,0,0,0
83,3192,1,0,0,0,0,0,0,0,0
84,3210,1,0,0,0,0,0,0,0,0
85,3171,6,1,4,0,0,0,0,0,0
86,3214,7,0,1,0,0,2,0,2,0
87,3213,4,2,1,0,0,0,0,0,0
88,3208,6,4,3,1,0,1,0,0,0
89,3158,1,0,0,0,0,0,0,0,0
90,2756,8,4,5,1,0,0,0,0,0
91,3217,6,6,0,0,1,0,0,0,0
92,3220,7,2,0,1,0,0,0,5,0
93,2830,6,3,3,1,0,0,0,0,0
94,3215,1,0,5,1,0,0,0,0,0
95,2041,2,0,0,0,0,0,0,0,0
96,2037,4,4,0,0,0,0,0,0,0
97,2085,6,2,4,1,0,0,0,4,0
98,3170,2,0,2,0,0,0,0,0,0
99,3236,2,1,0,0,0,0,1,0,0
100,3080,1,0,2,1,0,0,0,0,0
101,2944,3,3,4,2,0,0,0,0,0
102,2885,5,5,0,2,0,0,0,0,0
103,3144,7,0,3,0,0,0,0,0,0
104,2801,8,3,5,0,0,0,0,0,0
105,3239,2,0,0,0,0,0,0,0,0
106,3240,3,0,0,2,0,0,0,0,0
107,3092,5,0,0,0,0,0,0,0,0
108,3241,6,0,3,2,0,0,0,0,0
109,3244,4,0,0,0,0,0,0,0,0
110,3249,4,2,0,0,0,0,0,0,0
111,3246,2,0,0,0,0,0,0,0,0
112,3255,5,5,1,1,0,0,0,0,0
113,3258,1,0,2,1,0,0,0,0,0
114,3256,7,3,2,0,0,0,0,0,0
115,2171,1,0,0,0,0,0,0,0,0
116,3162,3,6,1,0,0,0,0,0,0
117,2913,1,1,0,0,0,0,0,0,0
118,3243,4,1,1,1,0,0,0,0,0
119,3267,1,0,0,0,0,0,0,0,0
